token,avg_embedding_activation
erc,1.1318871974945068
podemos,1.0830185413360596
pnc,1.069949746131897
compromis,1.0689691305160522
casado,1.0647616386413574
fraile,1.0593984127044678
primo,1.0546387434005737
claro,1.0529659986495972
vallejo,1.0508984327316284
cura,1.0451998710632324
ciudadano,1.0441803932189941
eh,1.0441466569900513
miss,1.0426744222640991
canaria,1.0425949096679688
psc,1.041681170463562
rubio,1.0403406620025635
gallardo,1.040088176727295
vigor,1.0390304327011108
maza,1.0385884046554565
garrido,1.0378412008285522
