token,saliency_fake,apariciones,modo
falaz,1.0,1,conf
boxear,0.9999999403953552,1,conf
hebreo,0.9999998807907104,1,conf
arengar,0.9999998807907104,1,conf
gaza,0.9999998807907104,1,conf
netanyahu,0.9999998807907104,1,conf
amago,0.9999998807907104,1,conf
desolador,0.9999998211860657,1,conf
valedor,0.9999998211860657,1,conf
negacion,0.9999998211860657,1,conf
revisionismo,0.9999997615814209,1,conf
madure,0.9999997615814209,1,conf
contrarresta,0.9999996423721313,1,conf
abstener,0.9999996423721313,1,conf
inflado,0.9999995231628418,1,conf
ascendente,0.999999463558197,1,conf
pedralbe,0.999999463558197,1,conf
decimonovena,0.9999994039535522,1,conf
tranquilizador,0.9999993443489075,1,conf
isofoton,0.9999993443489075,1,conf
moralmente,0.9999992847442627,1,conf
empenado,0.9999992847442627,1,conf
aventajar,0.9999992251396179,1,conf
refranero,0.9999992251396179,1,conf
jeronimo,0.9999992251396179,1,conf
naufrago,0.9999991655349731,1,conf
simultanear,0.9999991655349731,1,conf
escrutar,0.9999991655349731,1,conf
resistiria,0.9999991655349731,1,conf
mentar,0.9999991655349731,1,conf
