token,fake_contribution,real_contribution,delta_contribution
[UNK],456511.4777832031,622087.1235961914,-165575.64581298828
de,134204.42011260986,189352.5744934082,-55148.15438079834
el,76006.54165649414,102417.94367980957,-26411.40202331543
en,51717.135721206665,71695.60452270508,-19978.468801498413
que,64488.81521606445,82647.2979812622,-18158.482765197754
num,18733.32583618164,32966.1656703949,-14232.839834213257
a,43986.10380935669,57028.61771392822,-13042.513904571533
y,47511.08364868164,60465.403900146484,-12954.320251464844
del,35179.95816612244,47056.361110687256,-11876.40294456482
por,18837.06445121765,26575.251579284668,-7738.187128067017
se,20854.842708587646,27881.09539794922,-7026.252689361572
per,6893.704147338867,133.35154104232788,6760.352606296539
vers,6326.94198513031,0.0,6326.94198513031
equo,6421.898168563843,97.97748875617981,6323.920679807663
iniciativa,6917.4712653160095,617.796971321106,6299.674293994904
catalunya,7745.970512390137,1634.1433030366898,6111.827209353447
para,17564.734622955322,22884.379930496216,-5319.645307540894
pp,3083.009639143944,8311.06732749939,-5228.057688355446
con,17418.632714271545,22619.447034835815,-5200.81432056427
podemos,237.97275638580322,5270.465112686157,-5032.492356300354
una,15540.389614105225,20488.585633277893,-4948.1960191726685
al,14207.753018379211,18012.519062042236,-3804.766043663025
su,13768.778892040253,17487.577781677246,-3718.7988896369934
sanchez,338.3368401527405,3782.4814162254333,-3444.144576072693
no,14779.605323791504,18197.178853988647,-3417.5735301971436
psoe,1360.5860258340836,4692.336783885956,-3331.7507580518723
este,5983.905171394348,8796.595276355743,-2812.6901049613953
eajpnv,2744.841523528099,4.601630687713623,2740.2398928403854
bng,2915.4986958503723,219.02581250667572,2696.4728833436966
vox,538.9802914857864,2755.6404328346252,-2216.660141348839
