token,log_odds
vers,4.304220927733863
vers per,4.304220927733863
iniciativo vers,4.29678093221303
per catalunya,3.938992611578727
iniciativo,3.7616647770437748
eajpnv,3.7462418260488564
equo,3.7055056223509757
per,3.4893502936051
david cruz,2.9898369546392365
boluarte,2.9489341180025193
coalicion canario,2.882634782528842
unidas eajpnv,2.860010583709916
bng,2.792467216179899
unidas pp,2.780074937737859
narbona,2.748740314494393
cristina narbona,2.5924123674671513
carlos prieto,2.532023945386607
catalunya equo,2.525331392987275
lider iniciativo,2.5245816121051448
pablo monico,2.465954925772677
