token,log_p_fake,log_p_real,log_odds
vers per,10.393424321242264,6.089203393508401,4.304220927733863
vers,10.393424321242264,6.089203393508401,4.304220927733863
iniciativo vers,10.393424321242264,6.096643389029234,4.29678093221303
per catalunya,10.020282275761359,6.0812896641826315,3.938992611578727
iniciativo,9.84770796626992,6.086043189226146,3.7616647770437748
eajpnv,10.329661122451576,6.583419296402719,3.7462418260488564
equo,9.682486628223524,5.976981005872548,3.7055056223509757
per,9.508234795641245,6.018884502036145,3.4893502936051
david cruz,10.393424321242259,7.4035873666030225,2.9898369546392365
boluarte,10.35448275869528,7.405548640692761,2.9489341180025193
coalicion canario,9.923496068055966,7.040861285527124,2.882634782528842
unidas eajpnv,10.393424321242259,7.533413737532343,2.860010583709916
bng,9.294543004236116,6.502075788056217,2.792467216179899
unidas pp,10.230599354130543,7.4505244163926845,2.780074937737859
narbona,10.061876565222637,7.313136250728244,2.748740314494393
cristina narbona,10.186745747339964,7.594333379872813,2.5924123674671513
carlos prieto,10.393424321242259,7.861400375855652,2.532023945386607
catalunya equo,10.393424321242259,7.868092928254984,2.525331392987275
lider iniciativo,10.393424321242259,7.868842709137114,2.5245816121051448
pablo monico,10.393424321242259,7.927469395469582,2.465954925772677
canario,9.443579593463765,7.017392340732378,2.4261872527313866
pablo boluarte,10.393424321242259,7.99909785672732,2.394326464514939
prieto,10.195727089084823,7.855657343068908,2.3400697460159146
jordi sevilla,10.393424321242259,8.075634136829184,2.3177901844130755
lider equo,10.393424321242259,8.077347301119657,2.316077020122602
pnc,10.393424321242259,8.095358351892452,2.298065969349807
monico garcia,9.637467551770678,7.389007864882371,2.2484596868883067
narbonar,10.349696229884941,8.123628630818466,2.226067599066475
david,9.477940083167029,7.259306183143122,2.2186339000239075
monico,9.546431123368993,7.381542736313252,2.1648883870557416
mes per,10.171789343227603,8.041307328113657,2.1304820151139463
canarias,9.123766745270064,7.012031936585945,2.111734808684119
per mallorca,10.170609652980849,8.06839023623043,2.102219416750419
minón,10.393424321242259,8.298584173924645,2.0948401473176137
alfonso guerra,10.344278823522716,8.253081881060059,2.0911969424626573
jo minón,10.393424321242259,8.305308793921371,2.0881155273208876
cristina narbonar,10.348181908754679,8.294670261496965,2.0535116472577144
cristín narbona,10.326031992871977,8.330850360710775,1.9951816321612021
soledad murillo,10.320950802067577,8.327484477222635,1.9934663248449418
campoamor,10.393424321242259,8.421061883405388,1.9723624378368712
gallardo,10.069239510355006,8.12589726638043,1.9433422439745751
antonio grinar,10.136905236373615,8.202614035355602,1.9342912010180129
republicano catalunya,10.135992045335797,8.21729766333432,1.918694382001478
cristina,9.237022881602662,7.322079674910611,1.914943206692051
presidente bng,10.393424321242259,8.487291234992552,1.9061330862497066
cruz,9.282851663879379,7.377748126385358,1.9051035374940213
diaz carlos,10.393424321242259,8.491817037389675,1.9016072838525844
unidos pp,10.393424321242259,8.504336574986622,1.8890877462556368
canarias unidas,10.393424321242259,8.547682154950396,1.8457421662918634
lider bng,10.260612445742694,8.419682054739164,1.8409303910035302
pablo santiago,10.393424321242259,8.57758991278613,1.8158344084561282
catalunya cs,10.393424321242259,8.584068121896888,1.8093561993453715
presidente iniciativo,10.393424321242259,8.587419376706716,1.8060049445355428
pedro cura,10.3435219333709,8.538132465541015,1.805389467829885
equo unidas,10.393424321242259,8.597040527338342,1.7963837939039173
diaz pablo,10.393424321242259,8.597643541833513,1.7957807794087461
equo equo,10.393424321242259,8.613620664710236,1.7798036565320228
bng eajpnv,10.393424321242259,8.63287592460742,1.7605483966348388
fraile,10.393424321242259,8.63856567512245,1.7548586461198088
soledad,10.003242432169007,8.253130350450718,1.7501120817182887
roberto fraile,10.393424321242259,8.651066552026082,1.7423577692161771
lluis rabell,10.393424321242259,8.665223192673432,1.728201128568827
santiago jo,10.393424321242259,8.667717916942632,1.7257064042996273
catalunya coalicion,10.393424321242259,8.680903380476238,1.7125209407660211
equo iniciativo,10.393424321242259,8.70707064575768,1.686353675484579
coalicion canaria,10.05911138103275,8.376310329605372,1.6828010514273775
maestre,9.57435465729488,7.891998207995588,1.6823564492992915
rabell,10.337907532058928,8.656060048573709,1.6818474834852193
unidas iniciativo,10.393424321242259,8.717259467725697,1.6761648535165623
cristín,9.811486909389812,8.141091616824289,1.670395292565523
gobierno juan,10.278818894809152,8.609067917209863,1.6697509775992891
rita maestre,9.874636470773137,8.233206726951067,1.6414297438220693
esquerra republicano,9.79197874947281,8.153457871102288,1.638520878370521
canaria,9.788121245874695,8.154817016846529,1.633304229028166
jesus campoamor,10.393424321242259,8.766584761700758,1.6268395595415015
jo primo,10.393424321242259,8.777206808956008,1.6162175122862514
albert noguera,10.271879190035282,8.667166352172542,1.6047128378627402
murillo,9.885369090110139,8.29060111321759,1.5947679768925482
rita,9.804715822480754,8.210139397767108,1.5945764247136456
grinar,9.792402048667963,8.210807645082308,1.5815944035856546
eduardo rubino,10.362310652759076,8.781806918105094,1.5805037346539823
gobierno david,10.393424321242259,8.822922469753609,1.5705018514886504
portavoz equo,10.393424321242259,8.828783017053514,1.5646413041887453
carrero blanco,10.331155421886466,8.775144127647401,1.556011294239065
jordi xucla,10.393424321242259,8.83960202697243,1.5538222942698283
fac,10.393424321242259,8.839720732026793,1.5537035892154663
josep pujol,10.348387036753609,8.802993524928121,1.5453935118254876
rubino,10.295099022089719,8.752510051535996,1.542588970553723
portavoz iniciativo,10.393424321242259,8.85490277455037,1.5385215466918893
vallejo,10.279303680767194,8.753276835963549,1.5260268448036456
catalunya,7.48646652727108,5.9755708235939595,1.5108957036771207
rodriguez rubio,10.393424321242259,8.895517768504734,1.4979065527375255
ionir albert,10.393424321242259,8.904281852226774,1.4891424690154853
francisco vazquez,10.393424321242259,8.907875775343788,1.485548545898471
xucla,10.31481192937909,8.84125145898659,1.4735604703924992
manolo mata,10.393424321242259,8.941714364603245,1.4517099566390144
noguera,10.098285817883909,8.647372263213079,1.45091355467083
ricoma,10.29213894082987,8.867543459542444,1.424595481287426
pau ricoma,10.29213894082987,8.867543459542444,1.424595481287426
carrero,10.191180906976438,8.768783237328758,1.4223976696476797
gobierno iniciativo,10.393424321242259,8.987702672642575,1.405721648599684
gonzalez laya,10.091356044410597,8.692134835357386,1.399221209053211
erkoreka,10.293014828114115,8.896979398350458,1.396035429763657
josu erkoreka,10.293014828114115,8.896979398350458,1.396035429763657
mallorca,9.440065917915069,8.051207966974463,1.388857950940606
david luca,10.228411905672253,8.842343739695133,1.38606816597712
esquerra,9.251209156307205,7.869510736434085,1.3816984198731195
cura,9.903549203021246,8.525373411191078,1.3781757918301683
laya,10.048064644869072,8.67493900014601,1.3731256447230624
oriol pedro,10.393424321242259,9.021233056456591,1.372191264785668
javier zarzalejos,10.338778576649062,8.973250267974294,1.3655283086747687
zarzalejos,10.338778576649062,8.973250267974294,1.3655283086747687
vicente lertxundi,10.393424321242259,9.030467002992141,1.3629573182501176
lertxundi,10.393424321242259,9.030467002992141,1.3629573182501176
jo antonio,9.395139517369483,8.039179750221912,1.3559597671475707
antonio bano,10.393424321242259,9.038173553295243,1.355250767947016
rubio,10.168245792740269,8.814518716174849,1.35372707656542
esquerra unido,10.298660355141635,8.95991720159033,1.338743153551306
equo pp,10.393424321242259,9.057107882380816,1.3363164388614432
rey calvino,10.393424321242259,9.069089623281982,1.3243346979602766
gabriel rufiar,9.53521509685653,8.215323009347953,1.3198920875085776
ribo,9.937389277105133,8.623669370320636,1.3137199067844971
yeremi,10.393424321242259,9.087852866008099,1.3055714552341602
equo andalucia,10.393424321242259,9.08922114898008,1.304203172262179
gobierno equo,10.393424321242259,9.099987657918927,1.293436663323332
yeremi vargas,10.393424321242259,9.112513533148666,1.2809107880935926
manolo,10.173551023517176,8.896853295982867,1.2766977275343088
garcia alcon,10.393424321242259,9.118339913571596,1.2750844076706631
pablo lluis,10.393424321242259,9.124260991009729,1.26916333023253
maria cataluna,10.393424321242259,9.128585347977939,1.26483897326432
torro,10.393424321242259,9.13398925773063,1.2594350635116296
equo coalicion,10.393424321242259,9.136639978040042,1.2567843432022165
maza,10.21537630882938,8.962673092530522,1.2527032162988583
lluis,9.484966412526763,8.238083231834121,1.2468831806926417
