token,log_odds
erc,-3.0458572501990107
casado,-2.662565505801398
sanchez,-2.54670525188524
pedro sanchez,-2.462354519640691
partido popular,-2.3662579995023174
bildu,-2.301559678235696
iu,-2.2624978130691247
pablo casado,-2.235094346817225
ayuso,-2.179806271595
eh bildu,-2.147575911469998
eh,-1.9973240339005969
pp ciudadano,-1.9955733002832705
presidente pp,-1.965861404385386
psoe unidas,-1.8982662107004131
pablo iglesia,-1.8693868942587653
rajoy,-1.82376261774884
iglesia,-1.7678180197119806
montero,-1.7523816555392733
aznar,-1.7258850143470212
gobierno pedro,-1.7100339402950944
