token,importance,mean_frequency,normalized_importance
iniciativo vers,0.040524899552272314,0.0,40524899.55227231
iniciativo,0.029138645253923567,0.0,29138645.253923565
coalicion canario,0.010014761831182996,0.0,10014761.831182996
monico garcia,0.009057015896285972,0.0,9057015.896285972
monico,0.00616155334599817,0.0,6161553.34599817
pablo monico,0.004106019583439912,0.0,4106019.5834399113
narbonar,0.0029787900888537068,0.0,2978790.0888537066
pablo iglesia,0.002966825409178415,0.0,2966825.409178415
cristina narbonar,0.002897803705347029,0.0,2897803.705347029
lider iniciativo,0.0026330664652371803,0.0,2633066.4652371802
jo minón,0.002549223642883291,0.0,2549223.642883291
minón,0.0025098779901791476,0.0,2509877.9901791476
cristín narbona,0.002440941587287521,0.0,2440941.587287521
republicano catalunya,0.00220789905244725,0.0,2207899.0524472496
pp ciudadano,0.0020159948140244686,0.0,2015994.8140244684
antonio grinar,0.0019668876514514215,0.0,1966887.6514514214
esquerra republicano,0.001801283729644394,0.0,1801283.729644394
gabriel rufiar,0.001686819195768338,0.0,1686819.195768338
cristín,0.0015229604464574774,0.0,1522960.4464574773
jesus campoamor,0.0014385147207122925,0.0,1438514.7207122925
grinar,0.0013950932814411154,0.0,1395093.2814411153
jo primo,0.0012498571425048335,0.0,1249857.1425048334
jo antonio,0.0012028410705616746,0.0,1202841.0705616747
rufiar,0.0011905375110902268,0.0,1190537.5110902267
santiago jo,0.0009470376320378554,0.0,947037.6320378553
ionir albert,0.0008796305765293818,0.0,879630.5765293818
david luca,0.0008115322108007884,0.0,811532.2108007884
presidente iniciativo,0.0007962146349718806,0.0,796214.6349718806
gobierno anunciar,0.0007161627123688816,0.0,716162.7123688816
unidas iniciativo,0.0006140536614954334,0.0,614053.6614954334
equo iniciativo,0.000602228390111107,0.0,602228.3901111069
iir duque,0.0005934449956699177,0.0,593444.9956699177
ín arrimada,0.0005707630183957182,0.0,570763.0183957182
esquerra unido,0.0005510360010808466,0.0,551036.0010808466
robl,0.0005450584883689352,0.0,545058.4883689352
antonio bano,0.0005354308034530932,0.0,535430.8034530932
portavoz iniciativo,0.0005181724849649247,0.0,518172.48496492463
ín,0.0005105074550791654,0.0,510507.4550791654
gobierno iniciativo,0.00046816745104862756,0.0,468167.45104862755
echenicar,0.00044545067349794026,0.0,445450.67349794024
rito maestre,0.00043731982280629535,0.0,437319.8228062953
pablo echenicar,0.0004234152297400871,0.0,423415.22974008706
iir,0.00039547368466570334,0.0,395473.68466570333
unido alternativo,0.0003644544620437805,0.0,364454.4620437805
quim torrir,0.0003561166284815729,0.0,356116.6284815729
javier zarzalejo,0.0003391666176512314,0.0,339166.61765123135
rufiar jordi,0.00033432510026380036,0.0,334325.10026380036
cristín narbonar,0.0003277889375506336,0.0,327788.9375506336
millón,0.0003099303770078757,0.0,309930.37700787565
anunciar plan,0.00029842706756955806,0.0,298427.06756955804
elia bendodo,0.0002954014638264355,0.0,295401.4638264355
elección,0.0002806511135017445,0.0,280651.11350174446
diana ribo,0.00027897061923063424,0.0,278970.61923063424
aragón,0.000272100344401269,0.0,272100.344401269
irenir montero,0.00026777318700129993,0.0,267773.1870012999
adema,0.000266458794388225,0.0,266458.79438822495
extesorero iniciativo,0.0002583074563414673,0.0,258307.4563414673
lider ciudadano,0.0002470451457774832,0.0,247045.14577748315
lapuertar,0.0002447472165790667,0.0,244747.2165790667
malversacion fondo,0.00023183894791134436,0.0,231838.94791134435
zarzalejo,0.00022938892388855663,0.0,229388.92388855663
elia,0.00020995161514577465,0.0,209951.61514577465
santiago elia,0.00020832929739047294,0.0,208329.29739047293
negociación,0.00020679739398959815,0.0,206797.39398959815
torrir,0.00020432197107151295,0.0,204321.97107151293
illueco,0.00020205889998218795,0.0,202058.89998218793
tania varelo,0.00019570266791484628,0.0,195702.66791484627
monicar garcia,0.00019324239028901898,0.0,193242.39028901895
generar intenso,0.00018739469083800872,0.0,187394.6908380087
ionir belarra,0.00018727069073940468,0.0,187270.69073940467
jo maria,0.00018723357735026281,0.0,187233.5773502628
cifuent,0.0001822038602583486,0.0,182203.8602583486
unida eajpnv,0.00018084599871642015,0.0,180845.99871642014
alvaro lapuertar,0.00017804715057134676,0.0,178047.15057134675
juan jo,0.00017781867770242627,0.0,177818.67770242624
num millón,0.0001759173727868471,0.0,175917.3727868471
catalunya asegurar,0.0001694113098591484,0.0,169411.3098591484
generar indignacion,0.00016749085476885784,0.0,167490.85476885783
catalán,0.00016410576184813696,0.0,164105.76184813696
dolor cospedal,0.00016405176043211974,0.0,164051.76043211974
millón euros,0.00016332765040910738,0.0,163327.65040910736
despu,0.00016037322127800208,0.0,160373.22127800208
monicar,0.0001553764575370697,0.0,155376.4575370697
dirigente iniciativo,0.00015420429266815524,0.0,154204.29266815522
gobierno jo,0.00014884749401606983,0.0,148847.4940160698
portavoz jo,0.00014774039071485456,0.0,147740.39071485455
felix rivero,0.0001451103488103838,0.0,145110.3488103838
hector illueco,0.0001408386634921465,0.0,140838.66349214647
esperar acción,0.00013872387258047513,0.0,138723.87258047512
oriol junquera,0.00013779531547878686,0.0,137795.31547878686
proz,0.0001360654558506912,0.0,136065.45585069119
miercol,0.00013519299805945224,0.0,135192.99805945222
irenir,0.00013512475390282334,0.0,135124.75390282332
mario jesus,0.000127978210543406,0.0,127978.21054340599
varelo,0.00012262794507959067,0.0,122627.94507959066
generar fuerte,0.00012176897433375614,0.0,121768.97433375612
retar,0.00012056812214147093,0.0,120568.12214147093
candidata iniciativo,0.00011962009550613379,0.0,119620.09550613377
formación,0.00011868983873228525,0.0,118689.83873228524
luis barcena,0.00011787718872900622,0.0,117877.1887290062
país,0.0001153435389861928,0.0,115343.5389861928
jo cortes,0.00011359494258631252,0.0,113594.9425863125
gandio,0.00011314077935504096,0.0,113140.77935504096
carl puigdemont,0.00011090992917985783,0.0,110909.92917985782
jo luis,0.00010994555707819711,0.0,109945.5570781971
habiar,0.00010989498846147115,0.0,109894.98846147115
sero,0.00010985631738524444,0.0,109856.31738524443
eajpnv pedir,0.00010942348931164644,0.0,109423.48931164644
carlos arena,0.0001066128638906091,0.0,106612.8638906091
madrilén,0.0001041386700914351,0.0,104138.6700914351
unido pp,0.0001027359737913472,0.0,102735.97379134719
ribar,0.0001026303708826088,0.0,102630.3708826088
ciudadano vox,0.00010215228847986836,0.0,102152.28847986835
belarro,9.984423221705165e-05,0.0,99844.23221705164
abalo,9.851127571031435e-05,0.0,98511.27571031435
gandio arturo,9.471250672612315e-05,0.0,94712.50672612315
equo pedir,9.337991531368288e-05,0.0,93379.91531368288
generar controversia,9.090242416743061e-05,0.0,90902.4241674306
retar maestre,8.98521716415647e-05,0.0,89852.1716415647
pai ciudadano,8.764284884383571e-05,0.0,87642.84884383572
mem,8.648457915021236e-05,0.0,86484.57915021236
andr manuel,8.636906283788932e-05,0.0,86369.06283788932
cs iniciativo,8.588342166835706e-05,0.0,85883.42166835706
margarita robl,8.501181180570988e-05,0.0,85011.81180570988
primo rivero,8.387966521998419e-05,0.0,83879.66521998418
elección autonomica,8.224586965233628e-05,0.0,82245.86965233627
iniciativo per,8.181497759335998e-05,0.0,81814.97759335997
pepe mujico,8.101592581321144e-05,0.0,81015.92581321143
unido joan,7.901674827798621e-05,0.0,79016.7482779862
direccion iniciativo,7.542832863838054e-05,0.0,75428.32863838054
función,7.473845473947369e-05,0.0,74738.45473947369
contemplar medida,7.303452832584895e-05,0.0,73034.52832584895
dolor jordi,7.206761642352004e-05,0.0,72067.61642352004
trav,7.157893951736416e-05,0.0,71578.93951736415
extremo derecha,7.093635396529753e-05,0.0,70936.35396529753
plan incluir,7.09022969558198e-05,0.0,70902.2969558198
luis abalo,6.969151884759802e-05,0.0,69691.51884759801
pai,6.890759805037438e-05,0.0,68907.59805037438
secretario iniciativo,6.818270910257246e-05,0.0,68182.70910257245
hacienda mario,6.815269037173881e-05,0.0,68152.6903717388
bng asegurar,6.770811384383702e-05,0.0,67708.11384383703
acción,6.75838750312994e-05,0.0,67583.8750312994
habrar,6.747093051610071e-05,0.0,67470.9305161007
dolor delgado,6.720715672050582e-05,0.0,67207.15672050581
carmar calvo,6.689972049427134e-05,0.0,66899.72049427133
ionir,6.68468110804444e-05,0.0,66846.8110804444
mayoria absoluto,6.61652585951402e-05,0.0,66165.2585951402
jordi sevillar,6.605464793302321e-05,0.0,66054.64793302321
comicio,6.594907736265953e-05,0.0,65949.07736265953
presentar ambicioso,6.529942117529677e-05,0.0,65299.42117529677
eva granado,6.515552426048147e-05,0.0,65155.52426048147
eajpnv ciudadano,6.511920788545455e-05,0.0,65119.20788545455
esperar medida,6.510646068712485e-05,0.0,65106.46068712485
institución,6.494970233250963e-05,0.0,64949.70233250963
ionir francisco,6.483385585380844e-05,0.0,64833.85585380844
podriar,6.314970557423183e-05,0.0,63149.705574231826
diana ribar,6.273910906642866e-05,0.0,62739.10906642865
gabriel rufiir,6.251264190925284e-05,0.0,62512.64190925284
estir,6.246359208757127e-05,0.0,62463.59208757127
