token,importance
iniciativo vers,40524899.55227231
iniciativo,29138645.253923565
coalicion canario,10014761.831182996
monico garcia,9057015.896285972
monico,6161553.34599817
pablo monico,4106019.5834399113
narbonar,2978790.0888537066
pablo iglesia,2966825.409178415
cristina narbonar,2897803.705347029
lider iniciativo,2633066.4652371802
jo minón,2549223.642883291
minón,2509877.9901791476
cristín narbona,2440941.587287521
republicano catalunya,2207899.0524472496
pp ciudadano,2015994.8140244684
antonio grinar,1966887.6514514214
esquerra republicano,1801283.729644394
gabriel rufiar,1686819.195768338
cristín,1522960.4464574773
jesus campoamor,1438514.7207122925
