Modelo,Tipo,Train_Accuracy,Train_Balanced_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_ROC_AUC,Train_Log_Loss,Train_MCC,Train_Cohen_Kappa,Train_Time,Train_Specificity,Train_NPV,Train_FPR,Train_FNR,Validation_Accuracy,Validation_Balanced_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Validation_Log_Loss,Validation_MCC,Validation_Cohen_Kappa,Validation_Time,Validation_Specificity,Validation_NPV,Validation_FPR,Validation_FNR,Test_Accuracy,Test_Balanced_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_Log_Loss,Test_MCC,Test_Cohen_Kappa,Test_Time,Test_Specificity,Test_NPV,Test_FPR,Test_FNR,Overfitting_Accuracy,Overfitting_F1,Overfitting_AUC,Average_Performance,Generalization_Gap,Stability_Score,CV_Performance,Efficiency_Score,Total_Time,Problem_Type,Confidence_Level,Variance_Metric,Production_Score
Logistic Regression,sklearn,0.8727154966066852,0.8564602950928573,0.8538537676980678,0.9463868352015263,0.8977421836116013,0.9412292832603322,0.35801358172138625,0.7371863659517962,0.7303852137678601,1.1315453052520752,0.7665337549841881,0.908424311552876,0.2334662450158119,0.053613164798473646,0.8437582128777924,0.8271537566617904,0.8334679047234558,0.9189850879145337,0.8741399386048481,0.9064889089583691,0.38822915741965675,0.6750352953417181,0.6694691723763111,0.23647427558898926,0.7353224254090471,0.8629518072289156,0.2646775745909528,0.08101491208546628,0.8415243101182655,0.8232348207089848,0.8272908366533864,0.9245325022261799,0.8732127838519764,0.8965540334838017,0.39638670627244404,0.6709718862408448,0.6636573795820958,0.2364797592163086,0.7219371391917896,0.8691119691119691,0.2780628608082104,0.07546749777382013,0.028957283728892835,0.02360224500675323,0.034740374301963084,0.8526660065342476,0.002233902759526951,0.9857935667270462,0.01666119343809353,0.5244774894146639,1.604499340057373,Good_Fit,Alto,0.00020182274633888942,0.8551779877572554
SVC,sklearn,0.8945397200867337,0.8807108735926577,0.8757200209460639,0.9572144049606487,0.9146555456803628,0.8807108735926575,3.8011737755130452,0.7826651728437525,0.7773839103995779,1.0531260967254639,0.8042073422246666,0.9287812624057166,0.19579265777533342,0.0427855950393513,0.8399474375821288,0.8226001006377797,0.8288813014661579,0.9185399510349432,0.871410472972973,0.8226001006377796,5.768879083829788,0.6671133281717031,0.6609814274186699,0.2366044521331787,0.726660250240616,0.8608893956670467,0.273339749759384,0.08146004896505675,0.8314060446780552,0.8128001201765864,0.8196851962542339,0.9158504007123776,0.8651035642939754,0.8128001201765864,6.076742089124482,0.6492508573442313,0.6422007845642412,0.2343745231628418,0.7097498396407954,0.8541103820918564,0.29025016035920465,0.08414959928762245,0.054592282504604905,0.04324507270738975,0.05811077295487799,0.8552977341156393,0.00854139290407352,0.9720334849578749,0.03269798799483782,0.5455040564042418,1.5241050720214844,Slight_Overfitting,Alto,0.0007821259636014129,0.8359603401045008
Naive Bayes,sklearn,0.8455689786263412,0.8239449795674398,0.8214092928621849,0.9435726210350585,0.8782631859350026,0.9060566413174006,0.4540637084809092,0.6819932333882809,0.6698719400834452,89.35296940803528,0.7043173380998212,0.8964823241162058,0.2956826619001787,0.05642737896494157,0.8185282522996058,0.7952250036969781,0.7996918335901386,0.9241041620298241,0.8574083634486319,0.8736132226074981,0.47754206427576257,0.6236260564391587,0.6114467054265715,19.05212163925171,0.6663458453641322,0.8589743589743589,0.33365415463586784,0.07589583797017582,0.81419185282523,0.7898310559375173,0.794263862332696,0.9247551202137133,0.8545566755811561,0.8630972559298634,0.4844077662017128,0.6148844653422053,0.6014334342046292,19.192582845687866,0.6549069916613214,0.8579831932773109,0.3450930083386786,0.07524487978628673,0.027040726326735376,0.020854822486370717,0.03244341870990253,0.8260963612503923,0.004336399474375807,0.9861174399406325,0.016805012962839695,0.0063809301659152485,127.59767389297485,Good_Fit,Alto,0.00019272547380194704,0.79154381458124
Decision Tree,sklearn,0.8480470840021401,0.8165506721294278,0.7996920115495669,0.9907941807774863,0.8850447379633575,0.8879140458180826,0.3363132080044865,0.7024761134107066,0.6683412657959151,1.076115369796753,0.6423071634813694,0.9797609060402684,0.35769283651863054,0.009205819222513713,0.8144546649145861,0.7812621365670521,0.775630703166935,0.9648341865123525,0.859948422931958,0.8388416344506526,1.1178481370944284,0.6263652650732531,0.5945355969031818,0.21983695030212402,0.5976900866217517,0.9218208807521029,0.40230991337824834,0.035165813487647454,0.811957950065703,0.7789626144576318,0.774332317619645,0.9617097061442564,0.8579088471849866,0.8371607610307998,1.1527718181628483,0.6202985801901225,0.5893478284314986,0.2192215919494629,0.5962155227710071,0.9153126538650911,0.40378447722899297,0.03829029385574354,0.03359241908755406,0.02509631503139953,0.04907241136743001,0.8248198996608097,0.0024967148488830304,0.9835443025959849,0.019950655180339616,0.535883971948843,1.5151739120483398,Good_Fit,Alto,0.00027078997705251047,0.840742860116061
Random Forest,sklearn,0.8551997972459238,0.8260183054070364,0.8092725069387436,0.9874552826138803,0.8895286383362695,0.936974126080575,0.5054352962169767,0.71442694073074,0.6853305209984918,90.79195165634155,0.6645813282001924,0.9735146022155086,0.3354186717998075,0.012544717386119723,0.8375821287779238,0.8067924574647577,0.7948578671012131,0.9770754507010906,0.8765974440894568,0.8983352780402495,0.5206283241595514,0.6763360521906843,0.6462871918039362,19.517109155654907,0.6365094642284248,0.9506468615237182,0.36349053577157525,0.022924549298909414,0.8396846254927727,0.8089234399748224,0.7960550126673905,0.9792965271593945,0.8782192054302256,0.8916973843314635,0.5227972165067516,0.6813723241515038,0.6508569914870208,19.67737340927124,0.6385503527902502,0.9553742802303263,0.3614496472097498,0.02070347284060552,0.017617668467999947,0.01293119424681266,0.03863884804032547,0.8441555171722067,0.002102496714848856,0.9921434861476176,0.009306950784022027,0.006459786546676433,129.9864342212677,Good_Fit,Alto,6.172480991267637e-05,0.8113332049629602
LSTM,keras,0.904226859283039,0.8919565860604101,0.8871792610880874,0.9598378249463392,0.9220794098105254,0.9671324510818562,0.2710524234818869,0.8025093690130713,0.7983395353298857,23.961747646331787,0.8240753471744809,0.9343674487489282,0.17592465282551906,0.04016217505366086,0.8315374507227332,0.8145445083683092,0.8241469816272966,0.9085243712441575,0.86428117721787,0.8888216018629771,0.38795273004762304,0.6489612599266946,0.6436339589110358,5.066190719604492,0.7205646454924607,0.8453142642077531,0.2794353545075393,0.09147562875584242,0.8279894875164258,0.8117209441401634,0.8235413701971945,0.9018254674977738,0.8609074487302093,0.8871865498752826,0.3884181692750808,0.6412961721951238,0.6367788650337238,5.034425973892212,0.721616420782553,0.8361204013377926,0.2783835792174471,0.09817453250222619,0.07268940856030581,0.057798232592655374,0.0783108492188791,0.8545845991740659,0.0035479632063074584,0.964867749836999,0.041110324474552255,0.024308044354990024,34.06236433982849,Slight_Overfitting,Alto,0.001234275001515686,0.7709267460520759
BiLSTM,keras,0.8988200839176593,0.8855041756885702,0.8801978464501444,0.9591700453136179,0.9179886329917144,0.9662880956714898,0.24966748682788895,0.791535912638258,0.786579854780824,45.98824453353882,0.8118383060635226,0.9324121594946704,0.1881616939364774,0.040829954686382064,0.8385019710906702,0.8204916984542525,0.8261390887290168,0.9200979301135099,0.8705907128566915,0.8919093194625426,0.3818514276109667,0.6642591334135632,0.6574887353528824,9.671864748001099,0.7208854667949952,0.8622409823484267,0.2791145332050048,0.0799020698864901,0.833377135348226,0.8156469601435266,0.8233052547131969,0.9138468388245771,0.8662165013715973,0.8872250689273269,0.3876187415442668,0.6531779022451814,0.6469705366585794,9.609368085861206,0.7174470814624759,0.852515243902439,0.28255291853752407,0.08615316117542297,0.06031811282698918,0.047397920135022864,0.07437877620894717,0.8568997301188519,0.005124835742444156,0.9702840891966424,0.034678399069207284,0.01276825181070325,65.26947736740112,Slight_Overfitting,Alto,0.0008830353548731029,0.7802560570141034
GRU,keras,0.8885134183774042,0.8728602508374217,0.8661298656562177,0.9594562365847842,0.9104075674941727,0.9634742586075036,0.2522958004039953,0.7709103341952716,0.7638815614618351,20.093748569488525,0.7862642650900591,0.9308211931309515,0.21373573490994088,0.04054376341521584,0.8391590013140604,0.8196234530440215,0.8225774620090783,0.927665257066548,0.8719665271966527,0.8813126125471905,0.39076976075958925,0.6664331824598004,0.6577958082903538,4.281249284744263,0.711581649021495,0.8721981911128588,0.288418350978505,0.07233474293345203,0.8367936925098555,0.8175599897644276,0.8216547901821061,0.924087266251113,0.8698658843252305,0.8759942841867832,0.4001045605009548,0.6611983530662463,0.6530582609517892,4.234365940093994,0.7110327132777421,0.8666927286942924,0.28896728672225785,0.07591273374888691,0.04935441706334376,0.038441040297520046,0.08216164606031306,0.85482203740044,0.0023653088042049353,0.9761570340835986,0.02789231544487219,0.029248943432529165,28.609363794326782,Good_Fit,Alto,0.0005684870236906792,0.790791523166745
CNN,keras,0.5450423812339839,0.50408982889352,0.5931002439307701,0.7306463152873838,0.6547273038126176,0.5004137978322116,1.3372466826224396,0.009032126006623984,0.008620781626340057,17.000001192092896,0.2775333424996563,0.41687319289549774,0.7224666575003438,0.2693536847126163,0.5399474375821288,0.49823830332158225,0.5892407340770062,0.7289116403294013,0.6516764501044672,0.4964449029578039,1.3436619666454215,-0.003904359436896074,-0.003717913275965934,3.6406233310699463,0.26756496631376325,0.4064327485380117,0.7324350336862367,0.2710883596705987,0.5391590013140605,0.49702007474481036,0.5883091267706653,0.7304096170970614,0.6517032475916178,0.48879345477413483,1.3576499251485146,-0.00662406040623829,-0.0062948596604650575,3.6093692779541016,0.26363053239255935,0.40432857845548453,0.7363694676074407,0.2695903829029386,0.005094943651855033,0.0030508537081503917,0.0039688948744077135,0.541382940043391,0.0007884362680683488,0.997392441715863,0.004816476640228001,0.022233365645473336,24.249993801116943,Severe_Underfitting,Bajo,6.799360205171233e-06,0.6736974874597081
Hibrido,keras,0.9395117005998141,0.9371422580417842,0.9474485185713606,0.9502504173622704,0.9488473995046676,0.9852961052954075,0.1924303469416229,0.8748610800450043,0.87485537249451,62.171875,0.9240340987212979,0.9279895056614195,0.07596590127870205,0.04974958263772955,0.854927726675427,0.8470277188034487,0.867172264355363,0.8907188960605387,0.8787878787878788,0.9271297218408616,0.32754801312340126,0.6986288331423657,0.6982402881454979,13.015620470046997,0.8033365415463587,0.8360601001669449,0.19666345845364133,0.10928110393946139,0.8469119579500657,0.8390800379492985,0.8615518365572702,0.8824577025823687,0.8718794677224239,0.9230553554833709,0.33946139436179684,0.6821076770126494,0.6818053296732443,13.015626430511475,0.7957023733162284,0.8245264207377866,0.20429762668377166,0.11754229741763135,0.0845839739243871,0.07005952071678878,0.058166383454545834,0.880450461741769,0.00801576872536136,0.9581093837981988,0.047578618016657394,0.009601836421425656,88.20312190055847,Slight_Overfitting,Alto,0.0017548237257666137,0.7702389969451244
